"Crise política é ""golpe"" de Sócrates para se vitimizar, diz António Barreto",ent2_opposes_ent1,2011-03-31,https://arquivo.pt/wayback/20110331154025/http://www.ionline.pt/conteudo/114362-crise-politica-e-golpe-socrates-se-vitimizar-diz-antonio-barreto,Sócrates,António Barreto,https://www.wikidata.org/wiki/Q182367,https://www.wikidata.org/wiki/Q2857756,95.91.214.138
Assunção Cristas. Costa ‘perdeu uma boa oportunidade para estar calado’,ent1_opposes_ent2,2017-03-02,https://arquivo.pt/wayback/20170302094702/https://sol.sapo.pt/noticia/409951,Assunção Cristas,Costa,https://www.wikidata.org/wiki/Q439377,https://www.wikidata.org/wiki/Q610788,95.91.214.138
"Assunção Cristas pede ""remodelação"" de António Costa",ent1_opposes_ent2,2019-02-10,https://arquivo.pt/wayback/20190210053757/https://www.dn.pt/poder/interior/assuncao-cristas-ataca-remodelacao-e-costa-o-primeiro-ministro-fragilizado--9998935.html,Assunção Cristas,António Costa,https://www.wikidata.org/wiki/Q439377,https://www.wikidata.org/wiki/Q610788,95.91.214.138
Cristas defende que ainda falta remodelar António Costa,ent1_opposes_ent2,2018-10-15,https://arquivo.pt/wayback/20181015172204/https://observador.pt/2018/10/14/cristas-defende-que-ainda-falta-remodelar-antonio-costa/amp/,Cristas,António Costa,https://www.wikidata.org/wiki/Q439377,https://www.wikidata.org/wiki/Q610788,95.91.214.138
Cristas reclama liderança da oposição a Costa,other,2018-09-13,https://arquivo.pt/wayback/20180913190922/https://www.publico.pt/2018/09/11/politica/noticia/cristas-reclama-lideranca-da-oposicao-a-costa-1843766,Cristas,Costa,https://www.wikidata.org/wiki/Q439377,https://www.wikidata.org/wiki/Q610788,95.91.214.138
"Cristas diz que Costa não está ""empenhado"" em evitar possíveis sanções",ent1_opposes_ent2,2016-07-03,https://arquivo.pt/wayback/20160703021329/http://sol.sapo.pt/artigo/512572/cristas-diz-que-costa-nao-esta-empenhado-em-evitar-possiveis-sancoes,Cristas,Costa,https://www.wikidata.org/wiki/Q439377,https://www.wikidata.org/wiki/Q610788,95.91.214.138
Manuel Monteiro mantém polémica com Almeida Santos,ent1_opposes_ent2,1994-05-05,https://www.linguateca.pt/CHAVE?PUBLICO-19940505-097,Manuel Monteiro,Almeida Santos,https://www.wikidata.org/wiki/Q6752747,https://www.wikidata.org/wiki/Q611579,95.91.214.138
António Vitorino insiste em debate com Eurico de Melo,ent1_opposes_ent2,1994-05-05,https://www.linguateca.pt/CHAVE?PUBLICO-19940505-100,António Vitorino,Eurico de Melo,https://www.wikidata.org/wiki/Q200941,https://www.wikidata.org/wiki/Q3060511,95.91.214.138
Monteiro confirmou convite a Moura Guedes,ent1_supports_ent2,1995-06-04,https://www.linguateca.pt/CHAVE?PUBLICO-19950604-085,Monteiro,Moura Guedes,https://www.wikidata.org/wiki/Q6752747,https://www.wikidata.org/wiki/Q10324736,95.91.214.138
Guterres ataca Cavaco e o PSD no comício-festa da Ribeira,ent1_opposes_ent2,1995-07-31,https://www.linguateca.pt/CHAVE?PUBLICO-19950731-079,Guterres,Cavaco,https://www.wikidata.org/wiki/Q311440,https://www.wikidata.org/wiki/Q57398,95.91.214.138
Balsemão dispara contra lei Arons,ent1_opposes_ent2,2000-03-08,https://arquivo.pt/wayback/20000308182112/http://www.expresso.pt/ed1320/pu17.asp,Balsemão,Arons,https://www.wikidata.org/wiki/Q381029,https://www.wikidata.org/wiki/Q9594142,95.91.214.138
